ApostleStrength,DrillStrength(%),LP_GOLD_RING,CostOfGold,CostOfRing,YielfOfGold,DailyROI(%),WeeklyROI(%),YearlyROI(%)
1.1649,6,520,300.22,900.67,0.07,0.01,0.08,4.25
1.1649,6,530,306.0,917.99,0.07,0.01,0.08,4.17
1.1649,6,540,311.77,935.31,0.07,0.01,0.08,4.09
1.1649,7,50,28.87,86.6,0.08,0.14,0.99,51.55
1.1649,7,60,34.64,103.92,0.08,0.12,0.82,42.96
1.1649,7,70,40.41,121.24,0.08,0.1,0.71,36.82
1.1649,7,80,46.19,138.56,0.08,0.09,0.62,32.22
1.1649,7,90,51.96,155.88,0.08,0.08,0.55,28.64
1.1649,7,100,57.74,173.21,0.08,0.07,0.49,25.78
1.1649,7,110,63.51,190.53,0.08,0.06,0.45,23.43
1.1649,7,120,69.28,207.85,0.08,0.06,0.41,21.48
1.1649,7,130,75.06,225.17,0.08,0.05,0.38,19.83
1.1649,7,140,80.83,242.49,0.08,0.05,0.35,18.41
1.1649,7,150,86.6,259.81,0.08,0.05,0.33,17.18
1.1649,7,160,92.38,277.13,0.08,0.04,0.31,16.11
1.1649,7,170,98.15,294.45,0.08,0.04,0.29,15.16
1.1649,7,180,103.92,311.77,0.08,0.04,0.27,14.32
1.1649,7,190,109.7,329.09,0.08,0.04,0.26,13.57
1.1649,7,200,115.47,346.41,0.08,0.04,0.25,12.89
1.1649,7,210,121.24,363.73,0.08,0.03,0.24,12.27
1.1649,7,220,127.02,381.05,0.08,0.03,0.22,11.72
1.1649,7,230,132.79,398.37,0.08,0.03,0.21,11.21
1.1649,7,240,138.56,415.69,0.08,0.03,0.21,10.74
1.1649,7,250,144.34,433.01,0.08,0.03,0.2,10.31
1.1649,7,260,150.11,450.33,0.08,0.03,0.19,9.91
1.1649,7,270,155.88,467.65,0.08,0.03,0.18,9.55
1.1649,7,280,161.66,484.97,0.08,0.03,0.18,9.21
1.1649,7,290,167.43,502.29,0.08,0.02,0.17,8.89
1.1649,7,300,173.21,519.62,0.08,0.02,0.16,8.59
1.1649,7,310,178.98,536.94,0.08,0.02,0.16,8.31
1.1649,7,320,184.75,554.26,0.08,0.02,0.15,8.05
1.1649,7,330,190.53,571.58,0.08,0.02,0.15,7.81
1.1649,7,340,196.3,588.9,0.08,0.02,0.15,7.58
1.1649,7,350,202.07,606.22,0.08,0.02,0.14,7.36
1.1649,7,360,207.85,623.54,0.08,0.02,0.14,7.16
1.1649,7,370,213.62,640.86,0.08,0.02,0.13,6.97
1.1649,7,380,219.39,658.18,0.08,0.02,0.13,6.78
1.1649,7,390,225.17,675.5,0.08,0.02,0.13,6.61
1.1649,7,400,230.94,692.82,0.08,0.02,0.12,6.44
1.1649,7,410,236.71,710.14,0.08,0.02,0.12,6.29
1.1649,7,420,242.49,727.46,0.08,0.02,0.12,6.14
1.1649,7,430,248.26,744.78,0.08,0.02,0.11,5.99
1.1649,7,440,254.03,762.1,0.08,0.02,0.11,5.86
1.1649,7,450,259.81,779.42,0.08,0.02,0.11,5.73
1.1649,7,460,265.58,796.74,0.08,0.02,0.11,5.6
1.1649,7,470,271.35,814.06,0.08,0.02,0.11,5.48
1.1649,7,480,277.13,831.38,0.08,0.01,0.1,5.37
1.1649,7,490,282.9,848.7,0.08,0.01,0.1,5.26
1.1649,7,500,288.68,866.03,0.08,0.01,0.1,5.16
1.1649,7,510,294.45,883.35,0.08,0.01,0.1,5.05
1.1649,7,520,300.22,900.67,0.08,0.01,0.1,4.96
1.1649,7,530,306.0,917.99,0.08,0.01,0.09,4.86
1.1649,7,540,311.77,935.31,0.08,0.01,0.09,4.77
1.1649,8,50,28.87,86.6,0.09,0.16,1.13,58.92
1.1649,8,60,34.64,103.92,0.09,0.13,0.94,49.1
1.1649,8,70,40.41,121.24,0.09,0.12,0.81,42.08
1.1649,8,80,46.19,138.56,0.09,0.1,0.71,36.82
1.1649,8,90,51.96,155.88,0.09,0.09,0.63,32.73
1.1649,8,100,57.74,173.21,0.09,0.08,0.56,29.46
1.1649,8,110,63.51,190.53,0.09,0.07,0.51,26.78
1.1649,8,120,69.28,207.85,0.09,0.07,0.47,24.55
1.1649,8,130,75.06,225.17,0.09,0.06,0.43,22.66
1.1649,8,140,80.83,242.49,0.09,0.06,0.4,21.04
1.1649,8,150,86.6,259.81,0.09,0.05,0.38,19.64
1.1649,8,160,92.38,277.13,0.09,0.05,0.35,18.41
1.1649,8,170,98.15,294.45,0.09,0.05,0.33,17.33
1.1649,8,180,103.92,311.77,0.09,0.04,0.31,16.37
1.1649,8,190,109.7,329.09,0.09,0.04,0.3,15.5
1.1649,8,200,115.47,346.41,0.09,0.04,0.28,14.73
1.1649,8,210,121.24,363.73,0.09,0.04,0.27,14.03
1.1649,8,220,127.02,381.05,0.09,0.04,0.26,13.39
1.1649,8,230,132.79,398.37,0.09,0.04,0.25,12.81
1.1649,8,240,138.56,415.69,0.09,0.03,0.24,12.27
1.1649,8,250,144.34,433.01,0.09,0.03,0.23,11.78
1.1649,8,260,150.11,450.33,0.09,0.03,0.22,11.33
1.1649,8,270,155.88,467.65,0.09,0.03,0.21,10.91
1.1649,8,280,161.66,484.97,0.09,0.03,0.2,10.52
1.1649,8,290,167.43,502.29,0.09,0.03,0.19,10.16
1.1649,8,300,173.21,519.62,0.09,0.03,0.19,9.82
1.1649,8,310,178.98,536.94,0.09,0.03,0.18,9.5
1.1649,8,320,184.75,554.26,0.09,0.03,0.18,9.21
1.1649,8,330,190.53,571.58,0.09,0.02,0.17,8.93
1.1649,8,340,196.3,588.9,0.09,0.02,0.17,8.66
1.1649,8,350,202.07,606.22,0.09,0.02,0.16,8.42
1.1649,8,360,207.85,623.54,0.09,0.02,0.16,8.18
1.1649,8,370,213.62,640.86,0.09,0.02,0.15,7.96
1.1649,8,380,219.39,658.18,0.09,0.02,0.15,7.75
1.1649,8,390,225.17,675.5,0.09,0.02,0.14,7.55
1.1649,8,400,230.94,692.82,0.09,0.02,0.14,7.36
1.1649,8,410,236.71,710.14,0.09,0.02,0.14,7.18
1.1649,8,420,242.49,727.46,0.09,0.02,0.13,7.01
1.1649,8,430,248.26,744.78,0.09,0.02,0.13,6.85
1.1649,8,440,254.03,762.1,0.09,0.02,0.13,6.69
1.1649,8,450,259.81,779.42,0.09,0.02,0.13,6.55
1.1649,8,460,265.58,796.74,0.09,0.02,0.12,6.4
1.1649,8,470,271.35,814.06,0.09,0.02,0.12,6.27
1.1649,8,480,277.13,831.38,0.09,0.02,0.12,6.14
1.1649,8,490,282.9,848.7,0.09,0.02,0.12,6.01
1.1649,8,500,288.68,866.03,0.09,0.02,0.11,5.89
1.1649,8,510,294.45,883.35,0.09,0.02,0.11,5.78
1.1649,8,520,300.22,900.67,0.09,0.02,0.11,5.66
1.1649,8,530,306.0,917.99,0.09,0.02,0.11,5.56
1.1649,8,540,311.77,935.31,0.09,0.01,0.1,5.46
1.1649,9,50,28.87,86.6,0.1,0.18,1.27,66.28
1.1649,9,60,34.64,103.92,0.1,0.15,1.06,55.23
1.1649,9,70,40.41,121.24,0.1,0.13,0.91,47.34
1.1649,9,80,46.19,138.56,0.1,0.11,0.79,41.43
1.1649,9,90,51.96,155.88,0.1,0.1,0.71,36.82
1.1649,9,100,57.74,173.21,0.1,0.09,0.64,33.14
1.1649,9,110,63.51,190.53,0.1,0.08,0.58,30.13
1.1649,9,120,69.28,207.85,0.1,0.08,0.53,27.62
1.1649,9,130,75.06,225.17,0.1,0.07,0.49,25.49
1.1649,9,140,80.83,242.49,0.1,0.06,0.45,23.67
1.1649,9,150,86.6,259.81,0.1,0.06,0.42,22.09
1.1649,9,160,92.38,277.13,0.1,0.06,0.4,20.71
1.1649,9,170,98.15,294.45,0.1,0.05,0.37,19.49
1.1649,9,180,103.92,311.77,0.1,0.05,0.35,18.41
1.1649,9,190,109.7,329.09,0.1,0.05,0.33,17.44
1.1649,9,200,115.47,346.41,0.1,0.05,0.32,16.57
1.1649,9,210,121.24,363.73,0.1,0.04,0.3,15.78
1.1649,9,220,127.02,381.05,0.1,0.04,0.29,15.06
1.1649,9,230,132.79,398.37,0.1,0.04,0.28,14.41
1.1649,9,240,138.56,415.69,0.1,0.04,0.26,13.81
1.1649,9,250,144.34,433.01,0.1,0.04,0.25,13.26
1.1649,9,260,150.11,450.33,0.1,0.03,0.24,12.75
1.1649,9,270,155.88,467.65,0.1,0.03,0.24,12.27
1.1649,9,280,161.66,484.97,0.1,0.03,0.23,11.84
1.1649,9,290,167.43,502.29,0.1,0.03,0.22,11.43
1.1649,9,300,173.21,519.62,0.1,0.03,0.21,11.05
1.1649,9,310,178.98,536.94,0.1,0.03,0.21,10.69
1.1649,9,320,184.75,554.26,0.1,0.03,0.2,10.36
1.1649,9,330,190.53,571.58,0.1,0.03,0.19,10.04
1.1649,9,340,196.3,588.9,0.1,0.03,0.19,9.75
1.1649,9,350,202.07,606.22,0.1,0.03,0.18,9.47
1.1649,9,360,207.85,623.54,0.1,0.03,0.18,9.21
1.1649,9,370,213.62,640.86,0.1,0.02,0.17,8.96
1.1649,9,380,219.39,658.18,0.1,0.02,0.17,8.72
1.1649,9,390,225.17,675.5,0.1,0.02,0.16,8.5
1.1649,9,400,230.94,692.82,0.1,0.02,0.16,8.29
1.1649,9,410,236.71,710.14,0.1,0.02,0.16,8.08
1.1649,9,420,242.49,727.46,0.1,0.02,0.15,7.89
1.1649,9,430,248.26,744.78,0.1,0.02,0.15,7.71
1.1649,9,440,254.03,762.1,0.1,0.02,0.14,7.53
1.1649,9,450,259.81,779.42,0.1,0.02,0.14,7.36
1.1649,9,460,265.58,796.74,0.1,0.02,0.14,7.2
1.1649,9,470,271.35,814.06,0.1,0.02,0.14,7.05
1.1649,9,480,277.13,831.38,0.1,0.02,0.13,6.9
1.1649,9,490,282.9,848.7,0.1,0.02,0.13,6.76
1.1649,9,500,288.68,866.03,0.1,0.02,0.13,6.63
1.1649,9,510,294.45,883.35,0.1,0.02,0.12,6.5
1.1649,9,520,300.22,900.67,0.1,0.02,0.12,6.37
1.1649,9,530,306.0,917.99,0.1,0.02,0.12,6.25
1.1649,9,540,311.77,935.31,0.1,0.02,0.12,6.14
1.1649,10,50,28.87,86.6,0.12,0.2,1.41,73.64
1.1649,10,60,34.64,103.92,0.12,0.17,1.18,61.37
1.1649,10,70,40.41,121.24,0.12,0.14,1.01,52.6
1.1649,10,80,46.19,138.56,0.12,0.13,0.88,46.03
1.1649,10,90,51.96,155.88,0.12,0.11,0.78,40.91
1.1649,10,100,57.74,173.21,0.12,0.1,0.71,36.82
1.1649,10,110,63.51,190.53,0.12,0.09,0.64,33.47
1.1649,10,120,69.28,207.85,0.12,0.08,0.59,30.69
1.1649,10,130,75.06,225.17,0.12,0.08,0.54,28.32
1.1649,10,140,80.83,242.49,0.12,0.07,0.5,26.3
1.1649,10,150,86.6,259.81,0.12,0.07,0.47,24.55
1.1649,10,160,92.38,277.13,0.12,0.06,0.44,23.01
1.1649,10,170,98.15,294.45,0.12,0.06,0.42,21.66
1.1649,10,180,103.92,311.77,0.12,0.06,0.39,20.46
1.1649,10,190,109.7,329.09,0.12,0.05,0.37,19.38
1.1649,10,200,115.47,346.41,0.12,0.05,0.35,18.41
1.1649,10,210,121.24,363.73,0.12,0.05,0.34,17.53
1.1649,10,220,127.02,381.05,0.12,0.05,0.32,16.74
1.1649,10,230,132.79,398.37,0.12,0.04,0.31,16.01
1.1649,10,240,138.56,415.69,0.12,0.04,0.29,15.34
1.1649,10,250,144.34,433.01,0.12,0.04,0.28,14.73
1.1649,10,260,150.11,450.33,0.12,0.04,0.27,14.16
1.1649,10,270,155.88,467.65,0.12,0.04,0.26,13.64
1.1649,10,280,161.66,484.97,0.12,0.04,0.25,13.15
1.1649,10,290,167.43,502.29,0.12,0.03,0.24,12.7
1.1649,10,300,173.21,519.62,0.12,0.03,0.24,12.27
1.1649,10,310,178.98,536.94,0.12,0.03,0.23,11.88
1.1649,10,320,184.75,554.26,0.12,0.03,0.22,11.51
1.1649,10,330,190.53,571.58,0.12,0.03,0.21,11.16
1.1649,10,340,196.3,588.9,0.12,0.03,0.21,10.83
1.1649,10,350,202.07,606.22,0.12,0.03,0.2,10.52
1.1649,10,360,207.85,623.54,0.12,0.03,0.2,10.23
1.1649,10,370,213.62,640.86,0.12,0.03,0.19,9.95
1.1649,10,380,219.39,658.18,0.12,0.03,0.19,9.69
1.1649,10,390,225.17,675.5,0.12,0.03,0.18,9.44
1.1649,10,400,230.94,692.82,0.12,0.03,0.18,9.21
1.1649,10,410,236.71,710.14,0.12,0.02,0.17,8.98
1.1649,10,420,242.49,727.46,0.12,0.02,0.17,8.77
1.1649,10,430,248.26,744.78,0.12,0.02,0.16,8.56
1.1649,10,440,254.03,762.1,0.12,0.02,0.16,8.37
1.1649,10,450,259.81,779.42,0.12,0.02,0.16,8.18
1.1649,10,460,265.58,796.74,0.12,0.02,0.15,8.0
1.1649,10,470,271.35,814.06,0.12,0.02,0.15,7.83
1.1649,10,480,277.13,831.38,0.12,0.02,0.15,7.67
1.1649,10,490,282.9,848.7,0.12,0.02,0.14,7.51
1.1649,10,500,288.68,866.03,0.12,0.02,0.14,7.36
1.1649,10,510,294.45,883.35,0.12,0.02,0.14,7.22
1.1649,10,520,300.22,900.67,0.12,0.02,0.14,7.08
1.1649,10,530,306.0,917.99,0.12,0.02,0.13,6.95
1.1649,10,540,311.77,935.31,0.12,0.02,0.13,6.82
1.1649,11,50,28.87,86.6,0.13,0.22,1.55,81.01
1.1649,11,60,34.64,103.92,0.13,0.18,1.29,67.51
1.1649,11,70,40.41,121.24,0.13,0.16,1.11,57.86
1.1649,11,80,46.19,138.56,0.13,0.14,0.97,50.63
1.1649,11,90,51.96,155.88,0.13,0.12,0.86,45.01
1.1649,11,100,57.74,173.21,0.13,0.11,0.78,40.5
1.1649,11,110,63.51,190.53,0.13,0.1,0.71,36.82
1.1649,11,120,69.28,207.85,0.13,0.09,0.65,33.75
1.1649,11,130,75.06,225.17,0.13,0.09,0.6,31.16
1.1649,11,140,80.83,242.49,0.13,0.08,0.55,28.93
1.1649,11,150,86.6,259.81,0.13,0.07,0.52,27.0
1.1649,11,160,92.38,277.13,0.13,0.07,0.49,25.32
1.1649,11,170,98.15,294.45,0.13,0.07,0.46,23.83
1.1649,11,180,103.92,311.77,0.13,0.06,0.43,22.5
1.1649,11,190,109.7,329.09,0.13,0.06,0.41,21.32
1.1649,11,200,115.47,346.41,0.13,0.06,0.39,20.25
1.1649,11,210,121.24,363.73,0.13,0.05,0.37,19.29
1.1649,11,220,127.02,381.05,0.13,0.05,0.35,18.41
1.1649,11,230,132.79,398.37,0.13,0.05,0.34,17.61
1.1649,11,240,138.56,415.69,0.13,0.05,0.32,16.88
1.1649,11,250,144.34,433.01,0.13,0.04,0.31,16.2
1.1649,11,260,150.11,450.33,0.13,0.04,0.3,15.58
1.1649,11,270,155.88,467.65,0.13,0.04,0.29,15.0
1.1649,11,280,161.66,484.97,0.13,0.04,0.28,14.47
1.1649,11,290,167.43,502.29,0.13,0.04,0.27,13.97
1.1649,11,300,173.21,519.62,0.13,0.04,0.26,13.5
1.1649,11,310,178.98,536.94,0.13,0.04,0.25,13.07
1.1649,11,320,184.75,554.26,0.13,0.03,0.24,12.66
1.1649,11,330,190.53,571.58,0.13,0.03,0.24,12.27
1.1649,11,340,196.3,588.9,0.13,0.03,0.23,11.91
1.1649,11,350,202.07,606.22,0.13,0.03,0.22,11.57
1.1649,11,360,207.85,623.54,0.13,0.03,0.22,11.25
1.1649,11,370,213.62,640.86,0.13,0.03,0.21,10.95
1.1649,11,380,219.39,658.18,0.13,0.03,0.2,10.66
1.1649,11,390,225.17,675.5,0.13,0.03,0.2,10.39
1.1649,11,400,230.94,692.82,0.13,0.03,0.19,10.13
1.1649,11,410,236.71,710.14,0.13,0.03,0.19,9.88
1.1649,11,420,242.49,727.46,0.13,0.03,0.18,9.64
1.1649,11,430,248.26,744.78,0.13,0.03,0.18,9.42
1.1649,11,440,254.03,762.1,0.13,0.03,0.18,9.21
1.1649,11,450,259.81,779.42,0.13,0.02,0.17,9.0
1.1649,11,460,265.58,796.74,0.13,0.02,0.17,8.81
1.1649,11,470,271.35,814.06,0.13,0.02,0.17,8.62
1.1649,11,480,277.13,831.38,0.13,0.02,0.16,8.44
1.1649,11,490,282.9,848.7,0.13,0.02,0.16,8.27
1.1649,11,500,288.68,866.03,0.13,0.02,0.16,8.1
1.1649,11,510,294.45,883.35,0.13,0.02,0.15,7.94
1.1649,11,520,300.22,900.67,0.13,0.02,0.15,7.79
1.1649,11,530,306.0,917.99,0.13,0.02,0.15,7.64
1.1649,11,540,311.77,935.31,0.13,0.02,0.14,7.5
1.1649,12,50,28.87,86.6,0.14,0.24,1.69,88.37
1.1649,12,60,34.64,103.92,0.14,0.2,1.41,73.64
1.1649,12,70,40.41,121.24,0.14,0.17,1.21,63.12
1.1649,12,80,46.19,138.56,0.14,0.15,1.06,55.23
1.1649,12,90,51.96,155.88,0.14,0.13,0.94,49.1
1.1649,12,100,57.74,173.21,0.14,0.12,0.85,44.19
1.1649,12,110,63.51,190.53,0.14,0.11,0.77,40.17
1.1649,12,120,69.28,207.85,0.14,0.1,0.71,36.82
1.1649,12,130,75.06,225.17,0.14,0.09,0.65,33.99
1.1649,12,140,80.83,242.49,0.14,0.09,0.61,31.56
1.1649,12,150,86.6,259.81,0.14,0.08,0.56,29.46
1.1649,12,160,92.38,277.13,0.14,0.08,0.53,27.62
1.1649,12,170,98.15,294.45,0.14,0.07,0.5,25.99
1.1649,12,180,103.92,311.77,0.14,0.07,0.47,24.55
1.1649,12,190,109.7,329.09,0.14,0.06,0.45,23.26
1.1649,12,200,115.47,346.41,0.14,0.06,0.42,22.09
1.1649,12,210,121.24,363.73,0.14,0.06,0.4,21.04
1.1649,12,220,127.02,381.05,0.14,0.06,0.39,20.08
1.1649,12,230,132.79,398.37,0.14,0.05,0.37,19.21
1.1649,12,240,138.56,415.69,0.14,0.05,0.35,18.41
1.1649,12,250,144.34,433.01,0.14,0.05,0.34,17.67
1.1649,12,260,150.11,450.33,0.14,0.05,0.33,16.99
1.1649,12,270,155.88,467.65,0.14,0.04,0.31,16.37
1.1649,12,280,161.66,484.97,0.14,0.04,0.3,15.78
1.1649,12,290,167.43,502.29,0.14,0.04,0.29,15.24
1.1649,12,300,173.21,519.62,0.14,0.04,0.28,14.73
1.1649,12,310,178.98,536.94,0.14,0.04,0.27,14.25
1.1649,12,320,184.75,554.26,0.14,0.04,0.26,13.81
1.1649,12,330,190.53,571.58,0.14,0.04,0.26,13.39
1.1649,12,340,196.3,588.9,0.14,0.04,0.25,13.0
1.1649,12,350,202.07,606.22,0.14,0.03,0.24,12.62
1.1649,12,360,207.85,623.54,0.14,0.03,0.24,12.27
1.1649,12,370,213.62,640.86,0.14,0.03,0.23,11.94
1.1649,12,380,219.39,658.18,0.14,0.03,0.22,11.63
1.1649,12,390,225.17,675.5,0.14,0.03,0.22,11.33
1.1649,12,400,230.94,692.82,0.14,0.03,0.21,11.05
1.1649,12,410,236.71,710.14,0.14,0.03,0.21,10.78
1.1649,12,420,242.49,727.46,0.14,0.03,0.2,10.52
1.1649,12,430,248.26,744.78,0.14,0.03,0.2,10.28
1.1649,12,440,254.03,762.1,0.14,0.03,0.19,10.04
1.1649,12,450,259.81,779.42,0.14,0.03,0.19,9.82
1.1649,12,460,265.58,796.74,0.14,0.03,0.18,9.61
1.1649,12,470,271.35,814.06,0.14,0.03,0.18,9.4
1.1649,12,480,277.13,831.38,0.14,0.03,0.18,9.21
1.1649,12,490,282.9,848.7,0.14,0.02,0.17,9.02
1.1649,12,500,288.68,866.03,0.14,0.02,0.17,8.84
1.1649,12,510,294.45,883.35,0.14,0.02,0.17,8.66
1.1649,12,520,300.22,900.67,0.14,0.02,0.16,8.5
1.1649,12,530,306.0,917.99,0.14,0.02,0.16,8.34
1.1649,12,540,311.77,935.31,0.14,0.02,0.16,8.18
1.1649,13,50,28.87,86.6,0.15,0.26,1.84,95.74
1.1649,13,60,34.64,103.92,0.15,0.22,1.53,79.78
1.1649,13,70,40.41,121.24,0.15,0.19,1.31,68.38
1.1649,13,80,46.19,138.56,0.15,0.16,1.15,59.84
1.1649,13,90,51.96,155.88,0.15,0.15,1.02,53.19
1.1649,13,100,57.74,173.21,0.15,0.13,0.92,47.87
1.1649,13,110,63.51,190.53,0.15,0.12,0.83,43.52
1.1649,13,120,69.28,207.85,0.15,0.11,0.77,39.89
1.1649,13,130,75.06,225.17,0.15,0.1,0.71,36.82
1.1649,13,140,80.83,242.49,0.15,0.09,0.66,34.19
1.1649,13,150,86.6,259.81,0.15,0.09,0.61,31.91
1.1649,13,160,92.38,277.13,0.15,0.08,0.57,29.92
1.1649,13,170,98.15,294.45,0.15,0.08,0.54,28.16
1.1649,13,180,103.92,311.77,0.15,0.07,0.51,26.59
1.1649,13,190,109.7,329.09,0.15,0.07,0.48,25.19
1.1649,13,200,115.47,346.41,0.15,0.07,0.46,23.93
1.1649,13,210,121.24,363.73,0.15,0.06,0.44,22.79
1.1649,13,220,127.02,381.05,0.15,0.06,0.42,21.76
1.1649,13,230,132.79,398.37,0.15,0.06,0.4,20.81
1.1649,13,240,138.56,415.69,0.15,0.05,0.38,19.95
1.1649,13,250,144.34,433.01,0.15,0.05,0.37,19.15
1.1649,13,260,150.11,450.33,0.15,0.05,0.35,18.41
1.1649,13,270,155.88,467.65,0.15,0.05,0.34,17.73
1.1649,13,280,161.66,484.97,0.15,0.05,0.33,17.1
1.1649,13,290,167.43,502.29,0.15,0.05,0.32,16.51
1.1649,13,300,173.21,519.62,0.15,0.04,0.31,15.96
1.1649,13,310,178.98,536.94,0.15,0.04,0.3,15.44
1.1649,13,320,184.75,554.26,0.15,0.04,0.29,14.96
1.1649,13,330,190.53,571.58,0.15,0.04,0.28,14.51
1.1649,13,340,196.3,588.9,0.15,0.04,0.27,14.08
1.1649,13,350,202.07,606.22,0.15,0.04,0.26,13.68
1.1649,13,360,207.85,623.54,0.15,0.04,0.26,13.3
1.1649,13,370,213.62,640.86,0.15,0.04,0.25,12.94
1.1649,13,380,219.39,658.18,0.15,0.03,0.24,12.6
1.1649,13,390,225.17,675.5,0.15,0.03,0.24,12.27
1.1649,13,400,230.94,692.82,0.15,0.03,0.23,11.97
1.1649,13,410,236.71,710.14,0.15,0.03,0.22,11.68
1.1649,13,420,242.49,727.46,0.15,0.03,0.22,11.4
1.1649,13,430,248.26,744.78,0.15,0.03,0.21,11.13
1.1649,13,440,254.03,762.1,0.15,0.03,0.21,10.88
1.1649,13,450,259.81,779.42,0.15,0.03,0.2,10.64
1.1649,13,460,265.58,796.74,0.15,0.03,0.2,10.41
1.1649,13,470,271.35,814.06,0.15,0.03,0.2,10.18
1.1649,13,480,277.13,831.38,0.15,0.03,0.19,9.97
1.1649,13,490,282.9,848.7,0.15,0.03,0.19,9.77
1.1649,13,500,288.68,866.03,0.15,0.03,0.18,9.57
1.1649,13,510,294.45,883.35,0.15,0.03,0.18,9.39
1.1649,13,520,300.22,900.67,0.15,0.03,0.18,9.21
1.1649,13,530,306.0,917.99,0.15,0.02,0.17,9.03
1.1649,13,540,311.77,935.31,0.15,0.02,0.17,8.86
1.1649,14,50,28.87,86.6,0.16,0.28,1.98,103.1
1.1649,14,60,34.64,103.92,0.16,0.24,1.65,85.92
1.1649,14,70,40.41,121.24,0.16,0.2,1.41,73.64
1.1649,14,80,46.19,138.56,0.16,0.18,1.24,64.44
1.1649,14,90,51.96,155.88,0.16,0.16,1.1,57.28
1.1649,14,100,57.74,173.21,0.16,0.14,0.99,51.55
1.1649,14,110,63.51,190.53,0.16,0.13,0.9,46.86
1.1649,14,120,69.28,207.85,0.16,0.12,0.82,42.96
1.1649,14,130,75.06,225.17,0.16,0.11,0.76,39.65
1.1649,14,140,80.83,242.49,0.16,0.1,0.71,36.82
1.1649,14,150,86.6,259.81,0.16,0.09,0.66,34.37
1.1649,14,160,92.38,277.13,0.16,0.09,0.62,32.22
1.1649,14,170,98.15,294.45,0.16,0.08,0.58,30.32
1.1649,14,180,103.92,311.77,0.16,0.08,0.55,28.64
1.1649,14,190,109.7,329.09,0.16,0.07,0.52,27.13
1.1649,14,200,115.47,346.41,0.16,0.07,0.49,25.78
1.1649,14,210,121.24,363.73,0.16,0.07,0.47,24.55
1.1649,14,220,127.02,381.05,0.16,0.06,0.45,23.43
1.1649,14,230,132.79,398.37,0.16,0.06,0.43,22.41
